ExtractDate,OrganisationURI,OrganisationLabel,ServiceTypeURI,ServiceTypeLabel,LocationText,CoordinateReferenceSystem,GeoX,GeoY,GeoPointLicensingURL,Category,AccessibleCategory,RADARKeyNeeded,BabyChange,FamilyToilet,ChangingPlace,AutomaticPublicConvenience,FullTimeStaffing,PartOfCommunityScheme,CommunitySchemeName,ChargeAmount,InfoURL,OpeningHours,ManagedBy,ReportEmail,ReportTel,Notes,UPRN,Postcode,StreetAddress,GeoAreaURI,GeoAreaLabel
01/02/2015,http://opendatacommunities.org/id/unitary-authority/isle-of-wight,Isle of Wight,http://id.esd.org.uk/service/579,Public toilets,Post Office Lane Public Convenience,OSGB36,449746,89146,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and Male,Female and Male,Yes,Yes,No,No,No,No,No,,0,http://www.iwight.com/maps/PublicToilets.aspx,8am - dusk,IOW Council,www.iwight.com,01983 821000,,,,,,
01/02/2015,http://opendatacommunities.org/id/unitary-authority/isle-of-wight,Isle of Wight,http://id.esd.org.uk/service/579,Public toilets,Puckpool Park Public Convenience,OSGB36,461535,92114,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and Male,Female and Male,Yes,No,No,No,No,No,No,,0,http://www.iwight.com/maps/PublicToilets.aspx,8am - dusk,IOW Council,www.iwight.com,01983 821000,,,,,,
01/02/2015,http://opendatacommunities.org/id/unitary-authority/isle-of-wight,Isle of Wight,http://id.esd.org.uk/service/579,Public toilets,Ryde Esplanade Public Convenience,OSGB36,459355,92941,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and Male,Female and Male,Yes,No,No,No,No,No,No,,0,http://www.iwight.com/maps/PublicToilets.aspx,8am - dusk,IOW Council,www.iwight.com,01983 821000,,,,,,
01/02/2015,http://opendatacommunities.org/id/unitary-authority/isle-of-wight,Isle of Wight,http://id.esd.org.uk/service/579,Public toilets,Rylstone Gardens Public Convenience,OSGB36,458372,80920,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and Male,Female and Male,Yes,No,No,No,No,No,No,,0,http://www.iwight.com/maps/PublicToilets.aspx,8am - dusk,IOW Council,www.iwight.com,01983 821000,,,,,,
01/02/2015,http://opendatacommunities.org/id/unitary-authority/isle-of-wight,Isle of Wight,http://id.esd.org.uk/service/579,Public toilets,Sandham Grounds Public Convenience,OSGB36,460420,84573,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and Male,Female and Male,Yes,Yes,No,No,No,No,No,,0,http://www.iwight.com/maps/PublicToilets.aspx,8am - dusk,IOW Council,www.iwight.com,01983 821000,,,,,,
01/02/2015,http://opendatacommunities.org/id/unitary-authority/isle-of-wight,Isle of Wight,http://id.esd.org.uk/service/579,Public toilets,Seaclose Park Public Convenience,OSGB36,450343,89870,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and Male,Female and Male,No,No,No,No,No,No,No,,0,http://www.iwight.com/maps/PublicToilets.aspx,8am - dusk,IOW Council,www.iwight.com,01983 821000,,,,,,
01/02/2015,http://opendatacommunities.org/id/unitary-authority/isle-of-wight,Isle of Wight,http://id.esd.org.uk/service/579,Public toilets,Seagrove Bay Public Convenience,OSGB36,463185,90852,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and Male,Female and Male,No,No,No,No,No,No,No,,0,http://www.iwight.com/maps/PublicToilets.aspx,8am - dusk,IOW Council,www.iwight.com,01983 821000,,,,,,
01/02/2015,http://opendatacommunities.org/id/unitary-authority/isle-of-wight,Isle of Wight,http://id.esd.org.uk/service/579,Public toilets,Shanklin Esplanade Public Convenience,OSGB36,458765,81846,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and Male,Female and Male,Yes,Yes,No,No,No,No,No,,0,http://www.iwight.com/maps/PublicToilets.aspx,8am - dusk,IOW Council,www.iwight.com,01983 821000,,,,,,
01/02/2015,http://opendatacommunities.org/id/unitary-authority/isle-of-wight,Isle of Wight,http://id.esd.org.uk/service/579,Public toilets,South Street Public Convenience,OSGB36,449999,89006,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and Male,Female and Male,Yes,No,No,No,No,No,No,,0,http://www.iwight.com/maps/PublicToilets.aspx,8am - dusk,IOW Council,www.iwight.com,01983 821000,,,,,,
01/02/2015,http://opendatacommunities.org/id/unitary-authority/isle-of-wight,Isle of Wight,http://id.esd.org.uk/service/579,Public toilets,St Johns Road Public Convenience,OSGB36,459190,92156,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and Male,Female and Male,Yes,Yes,No,No,No,No,No,,0,http://www.iwight.com/maps/PublicToilets.aspx,8am - dusk,IOW Council,www.iwight.com,01983 821000,,,,,,
01/02/2015,http://opendatacommunities.org/id/unitary-authority/isle-of-wight,Isle of Wight,http://id.esd.org.uk/service/579,Public toilets,The Cut Public Convenience,OSGB36,449579,95999,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and Male,Female and Male,Yes,No,No,No,No,No,No,,0,http://www.iwight.com/maps/PublicToilets.aspx,8am - dusk,IOW Council,www.iwight.com,01983 821000,,,,,,
01/02/2015,http://opendatacommunities.org/id/unitary-authority/isle-of-wight,Isle of Wight,http://id.esd.org.uk/service/579,Public toilets,The Duver Public Convenience,OSGB36,463702,89330,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and Male,Female and Male,Yes,No,No,No,No,No,No,,0,http://www.iwight.com/maps/PublicToilets.aspx,8am - dusk,IOW Council,www.iwight.com,01983 821000,,,,,,
01/02/2015,http://opendatacommunities.org/id/unitary-authority/isle-of-wight,Isle of Wight,http://id.esd.org.uk/service/579,Public toilets,Totland Beach Public Convenience,OSGB36,432290,87093,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and Male,Female and Male,No,No,No,No,No,No,No,,0,http://www.iwight.com/maps/PublicToilets.aspx,8am - dusk,IOW Council,www.iwight.com,01983 821000,,,,,,
01/02/2015,http://opendatacommunities.org/id/unitary-authority/isle-of-wight,Isle of Wight,http://id.esd.org.uk/service/579,Public toilets,Tower Cottage Gardens Public Convenience,OSGB36,458297,81071,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and Male,Female and Male,Yes,No,No,No,No,No,No,,0,http://www.iwight.com/maps/PublicToilets.aspx,8am - dusk,IOW Council,www.iwight.com,01983 821000,,,,,,
01/02/2015,http://opendatacommunities.org/id/unitary-authority/isle-of-wight,Isle of Wight,http://id.esd.org.uk/service/579,Public toilets,Ventnor Park,OSGB36,455646,77260,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and Male,Female and Male,No,No,No,No,No,No,No,,0,http://www.iwight.com/maps/PublicToilets.aspx,8am - dusk,IOW Council,www.iwight.com,01983 821000,,,,,,
01/02/2015,http://opendatacommunities.org/id/unitary-authority/isle-of-wight,Isle of Wight,http://id.esd.org.uk/service/579,Public toilets,Yarmouth Common Public Convenience,OSGB36,435790,89750,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and Male,Female and Male,Yes,No,No,No,No,No,No,,0,http://www.iwight.com/maps/PublicToilets.aspx,8am - dusk,IOW Council,www.iwight.com,01983 821000,,,,,,
01/02/2015,http://opendatacommunities.org/id/unitary-authority/isle-of-wight,Isle of Wight,http://id.esd.org.uk/service/579,Public toilets,Yarmouth Public Convenience,OSGB36,435379,89678,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and Male,Female and Male,Yes,No,No,No,No,No,No,,0,http://www.iwight.com/maps/PublicToilets.aspx,8am - dusk,IOW Council,www.iwight.com,01983 821000,,,,,,
01/02/2015,http://opendatacommunities.org/id/unitary-authority/isle-of-wight,Isle of Wight,http://id.esd.org.uk/service/579,Public toilets,Yaverland Public Convenience,OSGB36,461148,85014,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and Male,Female and Male,Yes,Yes,No,No,No,No,No,,0,http://www.iwight.com/maps/PublicToilets.aspx,8am - dusk,IOW Council,www.iwight.com,01983 821000,,,,,,
